rival_n,input_deck_code,input_factions,input_total_cards,coverage_pct,cluster_assigned,dist_centroid,recommended_deck,recommended_player,recommended_rank,recommended_score,recommended_factions
12,CUCQCAIECQAQGBATAEDAUKYBA4GA6AQBAEEBABIBAEASWAIBAMRACCIBBIAQSBYMAMCAOMJ3NUEACAIAGEAQCAQFAEAQKJIBAIDAUAICAEBQCAYJE4AQKCUMAEAQMAIV,Bandle City|Freljord|Ionia|Mount Targon|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima,40,67.5,0,15.4821,CUDQCAQBAMAQGBATAEDAUKYBA4EQCAIHBQHQGAIBBAIBSAYDBERTGVICAEAQGIQBAMEROAYBAECBIAIDBEGQCBQBCU,Sartiga,249,0.664,Bandle City|F13|Freljord|Mount Targon|Noxus|Piltover & Zaun|Runeterra
13,CEBACCABDABACAJGE4DACAIFAEAQGAICAECACCQBA4CQEAIIAEJQMAIBAEFRMKBJG4DACAIFB4AQGAIWAEEAABQCAEAREHQCAQAQWEYCAYASIJQ,Demacia|F22|F30|Freljord|Shadow Isles,37,78.4,1,11.5537,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
14,CIAAMAIFBEDACBYAAUBAIAAQCQBQCAANDI3QKAYAAIBQMCALAYBQSAYOEYZUQVYCAIBQAAIHAIBQSAQG,Demacia|Mount Targon|Noxus|Shurima,38,47.4,1,11.8037,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
15,CIBQCBYGFMBQMBQGCAOAGCAGAIEAUAYCBADA6FYDBACAMCITAQDAMCY6EMUACAIIAYEQ,Bilgewater|F08|Piltover & Zaun,40,75.0,1,25.5132,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
16,CQCACBIKP4AQKAAMAEEASAYFBEFACAYMBUKAMAIBAANACAQAAEAQKCRRAEDAABQBA4FASAIJBIJAIAIFBIAQCBYAAUAQSCQEAEEQALI,Bandle City|Demacia|Freljord|Mount Targon|Shadow Isles,40,97.5,1,14.292,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
17,CEBQCCABDABACAIWGADACBAMDQTCQLJWAMAQCBBUAEBQICYEAEAQWJRIFEAQCAQEAY,Freljord|Ionia|Piltover & Zaun,40,100.0,1,12.3321,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
18,CQBQCAYCAIAQMCIIAIEQENJXBAAQKCICAEEAUBQBBABBGAIJAI5AEAYCCIKAEBQCEQTAGAYJC4RVQAYGBEDAUKYA,Bandle City|Ionia|Mount Targon,40,90.0,1,18.6679,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
19,CMCACAIFAEAQOBIKAEEAKKQHAYCQODAQCYOCMLQEAEAQKDYBAYDTQAIHAUBAEBQFBUWQA,Shadow Isles|Shurima,40,62.5,1,10.0695,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
20,CQCACAQGFYBAGCJDGMBAKCQUDUBQMCIRFE2AGAIHBIEQEBQJB4VQKBIKGFBK4ANUAHKQCAA,Bandle City|Bilgewater|Mount Targon,40,50.0,1,9.0797,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
21,CUDACAIADUAQEAACAECQADABAYCAQAIGA4CAKBQABMIRKGA5AMAQMAAKAEDACEQBAYGBUAYBAIAAMAIGBEDAEBQACINQ,Bilgewater|Demacia|Freljord|Ionia|Piltover & Zaun|Runeterra|Shurima,39,84.6,1,17.6826,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
22,CECQCCABCMAQQBAYAIAQCBA6AICQIAQGAQAQICAZGQ5AIAIBAEAQCAYBAIAQGBALAICQICQOAA,Freljord|Piltover & Zaun,40,100.0,1,14.4928,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
23,CQCACBYKCQAQQCQFAICQIAQKAQAQICAZGQ5AMAIFBJDACBYKBEAQOBARAEEAIGABBEFBIAQFAQDA4AICAUFB3JAB,Bandle City|Piltover & Zaun|Shadow Isles,39,100.0,1,14.4823,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
24,CEDACBACBYAQMAQJAEDAKJQBBECQ2AQBAIBQSBIBAUCAUFIXFIBACBQCC4BAMBIDB4AQCBQFCA,Bilgewater|Ionia|Shadow Isles,40,97.5,1,21.3692,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
25,CEBQCAIDEYAQKBACAYAQICAKDE2DKOQFAEAQGJIBAICAUAIDAMJACCAEDABAKBAKCMCACAIDGMAQEAYKAEDAGJIBAYCC4,Bandle City|Freljord|Noxus|Piltover & Zaun,40,67.5,1,12.3469,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
26,CEDACAIBAEAQEBAKAECACCQBA4CBCAQBAQEBSAYFAQBAMDIEAEAQIOQBBACBQAQBAECB4AQFAQFA4AIBAMCAW,Freljord|Noxus|Piltover & Zaun,40,97.5,1,16.6892,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
27,CEBAGBQAAYKSEBQGAUGA4EAUEYXAKAIBAUYQCBAAAMAQMAAYAEDQABICAYCQGDIBAEDAKBY,Bilgewater|Demacia|Shadow Isles,40,77.5,1,9.84,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
28,CIDACBAFB4AQMBRGAEDAKKYBBACR4AQCAUEAUBICAYLSOLBPHAAQGAQGDUPDKAIBAECQC,Bilgewater|Freljord|Shadow Isles,40,85.0,2,29.4003,CMCACBQGFUAQMBYFAQCAMAIDAUHQMBAHCMLECRCKKAAQCBAGAIBACBAGA4AQQAYM,Sigep0361,87,0.3714,Bilgewater|Freljord|Piltover & Zaun|Shurima
29,CIBACAQGCYBAEAYHBECACAQDBAAQMAZFAEEAMAQEAIDAICBNHYEQCBAGAIAQIAYWAEDAMKYBAYBSCAIHAYNQCBYDBYBACAYZEUBAEAYBAMDQEBQBBEIRIHZCE4,Bilgewater|F22|F27|Freljord|Noxus|Piltover & Zaun,32,50.0,1,10.4419,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
30,CIBACAYAAIAQKCIGAYAQMCJLAEDQSAYCAEAA2GQCAQABAFADAMEQGDSXAQBQAAIGBAFQIAIGBEQQCBYJBEBQGAADA4GQGAYJAYKSM,Bilgewater|Demacia|Freljord|Mount Targon,36,50.0,1,11.1281,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
